RETOUR	AGE	INCOME	SEX	MARRIED	FICO	OWNHOME	LOC	BUY6	BUY12	BUY18	VALUE24	COA6	fin
NON	64	45	M	1	661	0	B	0	0	0	185	0	0
NON	49	66	M	1	742	0	B	0	0	0	208	0	0
NON	26	27	M	0	732	0	B	0	0	0	183	0	0
NON	48	56	M	1	715	0	B	0	1	1	256	0	0
NON	43	35	F	1	674	0	B	0	0	0	60	0	0
NON	42	39	F	1	708	0	B	1	1	1	192	0	0
OUI	41	60	F	1	764	0	B	0	0	0	82	0	0
OUI	52	36	F	1	716	0	B	0	0	1	163	0	0
NON	22	51	M	0	703	0	B	0	0	0	235	0	0
NON	53	50	M	1	678	0	B	0	0	0	235	0	0
NON	54	44	M	1	669	0	B	0	0	0	63	0	0
NON	53	91	M	1	723	0	B	0	0	0	145	0	0
NON	60	37	M	1	654	1	B	0	0	1	381	0	0
NON	40	68	M	1	713	0	B	0	1	1	461	0	0
NON	38	67	M	0	754	0	B	0	0	0	194	0	0
NON	50	67	M	1	706	0	B	0	0	0	128	0	0
NON	49	51	M	1	693	0	B	0	0	1	423	0	0
OUI	35	48	M	1	695	1	B	0	0	0	129	0	0
OUI	36	41	M	0	632	1	B	0	0	0	252	0	0
NON	39	51	M	0	719	0	B	0	0	0	140	0	0
NON	42	34	F	1	732	0	B	0	0	0	250	0	0
NON	53	38	M	1	698	0	B	0	0	0	479	0	0
NON	47	85	M	1	725	0	B	0	0	1	431	0	0
NON	43	41	M	1	673	1	B	0	1	1	511	0	0
NON	39	70	M	0	694	0	B	0	0	0	217	0	0
NON	59	33	M	0	681	1	B	0	0	0	99	0	0
NON	45	36	M	0	708	0	B	0	0	0	188	0	0
NON	69	55	F	1	685	0	B	0	0	1	204	0	0
NON	41	43	F	1	733	1	B	0	1	2	452	0	0
NON	45	64	M	1	722	0	B	0	0	1	174	0	0
NON	52	67	F	1	704	1	B	0	1	1	396	0	0
OUI	44	30	F	1	647	0	B	1	1	1	336	0	0
NON	22	29	F	0	720	1	B	0	0	0	153	0	0
NON	34	51	M	1	729	1	B	0	0	1	477	0	0
NON	38	62	M	0	689	0	B	0	0	0	181	0	0
NON	35	71	F	0	686	1	B	0	0	0	83	0	0
OUI	57	30	M	1	681	0	B	1	1	1	285	0	0
NON	57	76	F	0	693	1	B	0	0	0	152	0	0
NON	24	59	M	0	668	1	B	0	0	0	92	0	0
NON	55	53	M	0	615	0	B	0	0	0	196	0	0
NON	43	48	F	0	728	1	B	0	0	1	251	0	0
NON	45	49	M	1	675	0	B	0	1	1	408	0	0
NON	47	45	F	0	686	0	B	0	0	1	441	0	0
NON	40	70	M	1	643	0	B	0	0	0	134	0	0
OUI	48	30	M	1	661	0	B	0	0	0	135	0	0
OUI	20	73	F	0	642	0	B	1	1	1	240	0	0
OUI	34	56	M	0	675	0	B	1	1	1	286	0	0
NON	44	83	F	1	723	1	B	1	1	1	343	0	0
NON	52	34	F	0	675	0	B	0	0	0	218	0	0
NON	37	53	F	1	625	0	B	1	1	1	217	0	0
NON	43	55	M	1	674	0	B	0	1	1	251	0	0
OUI	52	57	F	1	675	0	B	0	0	0	484	0	0
NON	33	71	M	0	733	0	B	0	0	0	193	0	0
OUI	41	54	F	1	664	0	B	0	0	0	160	0	0
NON	45	55	F	1	682	0	B	0	1	1	210	0	0
NON	53	62	M	1	699	1	B	0	0	1	433	0	0
OUI	44	70	M	1	687	0	B	0	0	0	64	0	0
NON	30	59	F	0	694	1	B	0	0	0	109	0	0
NON	40	68	M	1	648	0	B	2	2	2	485	0	0
NON	38	29	F	0	654	0	B	0	0	0	198	0	0
NON	37	78	M	0	624	1	B	0	0	0	178	0	0
NON	55	69	M	1	702	0	B	0	0	0	180	0	0
NON	40	48	F	1	656	1	B	0	1	1	296	0	0
NON	46	74	M	0	691	0	B	1	1	1	385	0	0
NON	36	52	M	0	651	0	B	0	0	0	241	0	0
OUI	24	29	F	0	700	0	B	0	0	0	254	0	0
NON	56	67	M	0	688	0	B	0	0	0	112	0	0
NON	56	39	F	1	648	1	B	0	0	0	150	0	0
NON	55	41	M	1	734	0	B	1	1	1	234	0	0
NON	36	66	M	1	714	0	B	0	0	0	165	0	0
NON	38	18	M	0	702	0	B	1	1	1	199	0	0
NON	54	75	M	0	682	0	B	0	0	1	498	0	0
NON	38	32	F	0	691	0	B	0	0	0	185	0	0
NON	46	58	M	1	669	0	B	0	0	0	195	0	0
NON	46	30	F	1	753	0	B	0	0	0	233	0	0
NON	32	57	M	0	765	0	B	0	1	1	468	0	0
NON	40	42	M	1	689	0	B	0	0	0	138	0	0
NON	41	19	M	1	710	0	B	1	1	1	326	0	0
NON	42	52	F	1	682	1	B	1	1	2	567	0	0
NON	52	55	M	1	687	0	B	0	0	0	125	0	0
NON	56	64	M	1	666	0	B	0	0	0	120	0	0
NON	36	45	F	0	674	0	B	0	0	0	80	0	0
NON	30	17	F	1	730	1	B	0	0	0	232	0	0
NON	73	50	F	1	704	0	B	0	0	1	582	0	0
NON	49	76	M	0	725	0	B	0	0	0	77	0	0
NON	47	66	M	1	702	0	B	0	0	0	198	0	0
NON	71	59	M	1	674	1	B	1	1	1	202	0	0
NON	46	32	F	0	685	0	B	0	0	0	101	0	0
NON	46	35	F	1	712	0	B	0	0	0	219	0	0
NON	53	38	M	0	643	0	B	0	0	0	189	0	0
NON	52	73	M	1	734	1	B	0	0	1	247	0	0
NON	46	27	M	1	706	0	B	0	0	0	169	0	0
NON	35	38	M	0	700	1	B	0	0	0	144	0	0
NON	38	104	M	0	685	0	B	0	0	0	121	0	0
NON	40	36	M	1	746	1	B	0	0	0	208	0	0
NON	35	37	F	0	721	1	B	0	0	1	467	0	0
NON	39	34	F	0	729	1	B	0	0	0	119	0	0
OUI	41	73	M	1	718	0	B	0	0	0	77	0	0
NON	39	52	F	1	755	0	B	0	0	0	146	0	0
OUI	57	58	F	1	682	0	B	0	0	0	231	0	0
NON	38	66	M	0	744	0	B	0	0	0	483	0	0
NON	42	61	F	1	666	0	B	0	0	0	236	0	0
NON	27	44	M	0	685	1	B	1	1	2	231	0	0
NON	45	31	F	1	681	0	B	0	0	0	69	0	0
NON	60	54	F	1	704	0	B	0	0	0	153	0	0
NON	55	68	M	1	705	0	B	0	0	0	109	0	0
NON	30	74	M	0	679	0	B	0	0	0	204	0	0
NON	33	68	F	0	708	0	B	0	0	0	160	0	0
NON	52	41	F	1	661	1	B	0	0	0	184	0	0
NON	57	48	F	1	685	1	B	1	1	1	206	0	0
OUI	57	55	M	1	704	0	B	0	0	0	485	0	0
NON	45	66	M	1	709	0	B	0	0	0	196	0	0
NON	36	65	F	1	675	0	B	0	0	0	513	0	0
NON	39	65	M	0	662	1	B	0	0	0	171	0	0
NON	68	39	M	1	691	1	B	0	0	0	102	0	0
NON	43	41	M	1	709	0	B	0	0	0	77	0	0
NON	41	32	M	1	693	0	B	0	1	1	411	0	0
NON	45	46	F	1	705	1	B	0	0	0	97	0	0
NON	41	16	F	1	676	0	B	0	0	0	178	0	0
NON	34	43	M	0	700	1	B	0	0	1	517	0	0
NON	54	68	F	0	687	1	B	0	0	0	233	0	0
NON	23	50	F	0	709	1	B	1	1	1	477	0	0
NON	39	70	M	0	675	0	B	0	1	1	196	0	0
NON	35	45	F	0	693	1	B	0	0	0	432	0	0
NON	38	59	M	0	693	0	B	0	1	1	120	0	0
NON	57	41	F	0	645	0	B	2	2	2	646	0	0
NON	39	36	M	0	717	0	B	0	0	0	255	0	0
OUI	43	67	F	1	708	1	B	0	1	1	178	0	0
NON	42	55	M	1	739	0	B	0	0	0	186	0	0
OUI	31	54	F	1	712	0	B	0	0	0	98	0	0
NON	55	23	F	1	736	0	B	1	1	1	475	0	0
NON	47	63	F	1	660	0	B	0	0	0	188	0	0
NON	34	49	F	0	721	0	B	0	0	0	95	0	0
NON	31	53	M	0	662	0	B	0	0	0	225	0	0
NON	40	57	F	1	686	0	B	0	0	0	182	0	0
NON	32	49	M	1	642	0	B	0	0	0	178	0	0
NON	53	49	M	1	676	0	B	0	1	1	349	0	0
OUI	61	61	F	1	728	0	B	0	0	0	99	0	0
NON	37	73	M	0	656	1	B	0	0	0	235	0	0
NON	34	65	F	0	689	0	B	1	2	3	555	0	0
NON	49	53	M	0	682	0	B	0	0	0	131	0	0
NON	35	31	M	0	665	0	B	0	0	0	72	0	0
NON	33	47	M	0	675	0	B	1	1	1	177	0	0
NON	65	40	F	0	624	0	B	0	0	0	235	0	0
OUI	43	58	M	1	656	0	B	0	0	0	86	0	0
NON	43	24	M	1	709	0	B	0	0	0	220	0	0
NON	38	54	F	0	693	0	B	0	0	0	253	0	0
OUI	46	35	F	1	667	0	B	1	1	1	122	0	0
NON	38	74	M	0	655	1	B	0	0	0	243	0	0
NON	41	31	M	1	712	0	B	0	1	1	324	0	0
NON	39	18	F	1	706	0	B	0	0	0	215	0	0
NON	51	52	M	1	712	0	B	0	0	0	140	0	0
OUI	46	34	M	1	675	1	B	0	1	1	269	0	0
NON	41	48	F	1	661	0	B	1	1	2	773	0	0
NON	46	55	M	1	667	0	B	0	0	0	188	0	0
NON	63	36	F	0	714	1	B	0	1	2	553	0	0
NON	41	73	F	1	654	0	B	0	0	0	174	0	0
NON	55	65	M	1	675	1	B	0	0	0	302	0	0
NON	42	86	M	1	695	0	B	0	0	0	108	0	0
NON	41	55	M	1	681	0	B	0	0	0	252	0	0
OUI	67	43	F	1	618	0	B	1	1	2	670	0	0
NON	43	65	M	1	682	0	B	0	0	0	102	0	0
NON	58	47	F	1	696	0	B	0	0	0	147	0	0
NON	34	53	M	0	719	0	B	0	0	0	181	0	0
NON	58	32	F	1	734	0	B	0	0	1	481	0	0
NON	48	42	F	1	671	1	B	1	1	1	407	0	0
NON	49	46	F	1	738	1	B	0	0	0	140	0	0
OUI	30	66	M	1	725	1	B	0	0	0	233	0	0
NON	44	74	F	1	697	0	B	0	0	0	155	0	0
NON	44	49	M	1	668	0	B	0	0	2	672	0	0
NON	49	45	M	1	661	0	B	1	1	1	292	0	0
OUI	38	44	M	0	607	1	B	0	1	1	375	0	0
NON	48	43	F	0	622	0	B	0	0	0	170	0	0
NON	34	29	F	1	677	0	B	0	0	1	487	1	0
NON	56	33	M	1	699	0	B	0	0	0	192	0	0
NON	46	24	F	1	700	0	B	0	0	0	87	0	0
NON	43	66	M	0	650	0	B	0	0	1	247	0	0
NON	40	38	M	0	689	0	B	0	0	0	74	0	0
NON	42	57	M	1	717	0	B	0	0	0	204	0	0
NON	59	63	F	1	666	1	B	0	0	0	192	0	0
OUI	46	57	M	1	715	0	B	0	0	0	112	0	0
NON	42	31	M	0	695	0	B	0	0	0	249	0	0
NON	55	56	M	1	749	0	B	0	0	1	410	0	0
NON	41	67	M	1	715	0	B	1	1	1	465	0	0
NON	40	68	F	1	710	0	B	0	0	0	114	0	0
NON	46	26	M	1	706	0	B	0	0	0	62	0	0
NON	54	33	M	1	699	0	B	0	0	0	65	0	0
NON	36	71	F	0	667	0	B	0	0	0	253	0	0
NON	47	35	M	0	710	0	B	0	0	0	257	0	0
NON	31	63	M	0	674	0	B	0	1	1	208	1	0
NON	49	29	M	1	681	0	B	0	0	0	233	0	0
NON	35	33	F	0	693	1	B	0	0	0	136	0	0
NON	59	23	F	1	698	0	B	0	0	0	172	0	0
NON	30	74	M	0	669	0	B	0	0	0	184	0	0
NON	48	75	F	1	721	0	B	0	0	0	170	0	0
NON	38	71	M	0	701	0	B	1	1	1	317	0	0
NON	71	18	F	1	684	1	B	0	0	0	80	0	0
NON	44	75	M	1	678	0	B	0	0	0	206	0	0
OUI	38	19	M	1	716	0	B	1	1	1	143	0	0
NON	49	38	F	1	696	0	B	0	0	0	195	0	0
NON	39	70	F	0	700	0	B	0	0	1	503	0	0
NON	72	23	M	1	714	0	B	0	0	0	118	0	0
NON	42	46	F	1	700	0	B	0	0	0	199	0	0
NON	61	25	M	1	741	0	B	0	0	0	216	0	0
NON	40	40	M	1	744	1	B	0	0	0	78	0	0
NON	30	62	F	0	699	1	B	0	0	0	407	0	0
NON	49	26	F	1	623	1	B	0	0	2	573	0	0
NON	51	63	M	1	730	0	B	0	0	0	242	0	0
NON	32	37	M	0	686	0	B	0	0	0	66	0	0
NON	20	60	M	0	693	1	B	0	1	1	236	0	0
NON	39	33	F	0	722	0	B	0	0	0	303	0	0
NON	55	27	F	1	630	1	B	1	1	1	268	0	0
NON	33	61	M	0	674	0	B	0	0	0	161	0	0
NON	65	66	F	1	681	1	B	0	0	0	238	0	0
NON	44	39	M	1	640	1	B	0	0	0	236	0	0
NON	44	28	M	1	684	0	B	0	0	0	78	0	0
NON	37	71	M	0	718	0	B	0	0	0	66	1	0
NON	47	52	F	1	693	0	B	0	0	0	224	0	0
NON	44	32	M	0	721	0	B	0	0	0	98	0	0
NON	44	23	F	1	698	0	B	1	1	1	315	0	0
NON	46	46	F	1	729	0	B	0	0	0	155	0	0
NON	51	23	M	0	716	0	B	0	0	0	132	0	0
OUI	34	60	M	0	717	0	B	0	0	0	147	0	0
NON	49	81	M	1	743	0	B	0	0	0	79	0	0
NON	44	32	F	1	711	0	B	0	0	0	154	0	0
NON	48	62	F	1	747	1	B	0	1	1	211	0	0
OUI	40	69	M	1	731	0	B	0	0	0	253	0	0
NON	48	78	F	0	694	0	B	0	0	0	196	0	0
NON	72	54	F	0	700	0	B	0	0	0	199	0	0
OUI	45	65	F	0	642	0	B	0	0	1	231	0	0
NON	52	29	F	1	683	0	B	0	0	1	282	0	0
NON	54	84	F	1	709	0	B	0	0	0	187	0	0
NON	42	50	M	1	729	0	B	0	0	0	156	0	0
NON	67	69	F	1	737	0	B	0	0	0	74	0	0
NON	42	53	F	1	658	0	B	1	1	1	293	0	0
NON	39	31	F	0	733	0	B	0	0	1	259	0	0
NON	40	32	M	1	721	0	B	0	0	0	132	0	0
OUI	46	65	M	1	735	0	B	0	0	0	170	0	0
NON	41	71	M	1	657	0	B	0	0	0	96	0	0
NON	37	51	F	0	689	1	B	0	0	0	191	0	0
NON	51	19	M	0	660	0	B	0	0	0	393	0	0
NON	44	38	M	1	644	1	B	0	0	0	78	0	0
NON	60	68	M	1	675	0	B	0	0	0	166	0	0
NON	25	60	M	0	705	1	B	0	0	0	224	0	0
OUI	60	50	F	1	704	0	B	0	0	1	490	0	0
NON	62	48	M	1	639	0	B	0	0	0	88	0	0
NON	45	49	F	1	661	0	B	0	0	0	92	0	0
NON	43	67	M	1	694	0	B	0	0	1	163	0	0
NON	42	65	M	1	697	0	B	0	0	0	220	0	0
NON	64	34	F	1	670	0	B	0	0	0	65	0	0
NON	39	38	M	0	716	0	B	1	1	1	476	0	0
OUI	45	50	F	1	687	0	B	0	0	0	227	0	0
NON	49	46	F	0	702	1	B	0	0	0	252	0	0
NON	48	50	F	1	660	0	B	0	0	0	61	0	0
OUI	55	37	M	1	699	0	B	0	0	0	212	0	0
NON	45	35	M	0	732	0	B	0	0	0	166	0	0
NON	54	61	F	1	699	0	B	0	1	1	373	0	0
OUI	46	66	M	1	657	0	B	1	1	1	220	0	0
NON	21	36	M	0	703	1	B	0	0	1	726	1	0
NON	32	67	F	0	674	0	B	0	0	0	243	0	0
NON	36	31	F	0	734	0	B	0	0	0	119	0	0
NON	46	69	F	1	660	0	B	0	0	0	194	0	0
NON	42	48	F	1	670	1	B	0	0	0	225	0	0
NON	40	71	M	1	683	0	B	1	1	1	448	0	0
OUI	19	17	M	0	702	0	B	0	1	1	288	0	0
NON	41	65	F	1	681	0	B	0	0	0	250	0	0
OUI	54	49	F	1	690	0	B	0	0	0	395	0	0
NON	45	19	M	1	733	0	B	0	0	0	61	0	0
NON	27	45	F	0	621	0	B	0	1	2	699	0	0
NON	41	39	F	1	719	1	B	1	1	2	583	0	0
NON	44	62	M	1	680	0	B	1	1	1	183	0	0
NON	55	49	F	1	676	0	B	0	1	1	234	0	0
NON	57	81	F	1	676	0	B	0	0	0	231	0	0
OUI	28	63	M	0	613	0	B	0	0	0	193	0	0
NON	51	18	M	1	691	0	B	1	1	2	680	0	0
NON	39	33	M	0	690	0	B	1	1	1	434	0	0
NON	47	68	F	0	705	0	B	0	0	0	94	0	0
NON	41	45	M	1	646	1	B	0	0	0	104	0	0
NON	54	37	F	1	716	0	B	0	0	0	99	0	0
NON	71	49	M	1	705	1	B	0	0	0	80	0	0
NON	41	47	F	1	647	1	B	1	1	1	175	0	0
NON	50	57	M	1	718	0	B	0	0	1	147	0	0
NON	42	18	F	1	695	0	B	0	0	0	169	0	0
NON	45	71	M	0	704	0	B	0	0	0	69	0	0
NON	54	67	M	0	704	0	B	0	0	0	184	0	0
NON	45	29	M	1	702	0	B	0	0	1	172	0	0
NON	20	39	M	0	682	0	B	0	0	0	259	0	0
NON	25	60	F	1	692	0	B	0	0	0	78	0	0
NON	40	75	F	1	650	0	B	1	1	1	385	0	0
NON	46	71	F	1	674	0	B	0	0	0	170	0	0
NON	61	37	M	1	641	0	B	0	0	0	134	0	0
NON	42	65	M	1	658	0	B	1	1	1	445	0	0
OUI	34	21	F	0	689	0	B	0	1	2	561	0	0
NON	55	67	F	1	674	1	B	0	1	1	148	0	0
NON	44	34	F	0	675	0	B	0	0	0	177	0	0
NON	37	78	F	0	661	0	B	0	0	1	389	0	0
NON	34	71	F	1	722	0	B	0	0	0	146	0	0
OUI	21	43	M	1	738	0	B	1	1	1	363	0	0
NON	69	17	M	0	736	0	B	0	0	1	218	0	0
NON	44	34	M	1	674	0	B	0	0	0	122	0	0
NON	41	69	F	1	679	0	B	0	0	0	133	0	0
NON	55	70	M	1	701	0	B	0	0	0	94	0	0
NON	47	34	M	0	676	0	B	0	0	0	497	0	0
NON	36	73	F	0	707	1	B	1	1	1	148	0	0
NON	29	59	F	0	682	0	B	0	0	0	84	0	0
NON	54	56	M	1	698	0	B	0	0	1	241	0	0
NON	45	49	F	0	671	0	B	0	0	0	100	0	0
NON	42	74	M	1	715	0	B	0	1	1	470	0	0
NON	61	29	M	1	727	0	B	0	0	0	151	0	0
NON	48	19	F	1	738	0	B	0	0	0	269	0	0
OUI	45	71	F	1	724	0	B	0	0	0	103	0	0
NON	56	33	F	1	717	0	B	0	0	0	90	0	0
OUI	44	51	F	1	735	0	B	0	0	0	99	0	0
NON	37	80	M	0	680	0	B	0	0	0	221	0	0
NON	57	31	F	1	696	1	B	0	0	0	306	0	0
NON	49	66	M	1	701	0	B	0	0	0	206	1	0
NON	39	32	M	0	755	0	B	0	0	0	221	0	0
NON	56	58	M	1	639	0	B	0	0	0	143	0	0
NON	67	54	M	0	706	1	B	0	1	1	425	0	0
NON	50	63	F	1	732	0	B	0	0	0	122	0	0
NON	60	22	M	1	735	1	B	0	0	0	73	0	0
OUI	48	36	F	1	727	0	B	0	0	0	154	0	0
OUI	20	48	M	0	706	0	B	1	1	1	144	0	0
OUI	46	55	F	0	687	0	B	0	0	0	108	0	0
NON	40	35	F	1	693	0	B	0	0	0	180	0	0
NON	51	30	M	1	694	0	B	0	0	0	132	0	0
NON	40	67	M	1	676	0	B	0	0	0	121	0	0
NON	28	65	M	0	747	1	B	0	0	1	191	0	0
OUI	30	73	M	1	650	0	B	0	0	0	218	0	0
OUI	39	28	M	0	697	0	B	0	0	0	141	0	0
NON	52	48	F	1	653	1	B	0	0	0	148	0	0
NON	43	59	F	1	696	0	B	0	0	0	195	0	0
NON	44	21	F	1	710	0	B	0	0	0	242	0	0
NON	37	33	F	0	737	0	B	0	0	0	80	0	0
NON	41	42	F	0	716	1	B	0	0	0	434	0	0
NON	36	67	M	0	684	0	B	0	0	0	187	0	0
NON	57	69	M	0	727	1	B	0	0	0	205	0	0
NON	44	55	F	1	683	0	B	0	0	0	213	0	0
NON	46	32	M	1	696	0	B	0	0	0	499	0	0
OUI	44	55	M	0	640	0	B	0	0	0	232	0	0
NON	57	51	F	1	690	0	B	0	1	1	460	0	0
NON	37	64	M	0	671	0	B	0	0	0	112	0	0
NON	54	54	M	1	650	0	B	0	0	0	146	0	0
NON	31	31	F	1	698	0	B	0	0	0	189	0	0
NON	31	55	M	0	700	0	B	2	2	2	308	0	0
NON	32	76	M	0	671	0	B	0	0	0	110	0	0
NON	52	34	F	1	715	0	B	0	0	0	82	0	0
NON	43	30	F	1	684	0	B	0	0	0	211	0	0
NON	31	43	M	0	700	0	B	0	0	1	211	0	0
NON	55	37	M	1	679	1	B	1	1	1	215	0	0
NON	39	51	M	0	716	0	B	0	0	0	117	0	0
NON	32	33	M	0	732	0	B	0	0	0	75	0	0
NON	21	74	M	0	672	1	B	0	0	0	158	0	0
NON	34	40	F	0	700	1	B	0	0	0	398	0	0
NON	53	54	F	1	715	0	B	0	0	0	144	0	0
NON	39	71	M	0	704	0	B	0	0	0	218	0	0
NON	48	29	F	1	670	0	B	0	1	2	313	0	0
NON	51	72	M	0	676	0	B	0	0	0	255	0	0
OUI	42	82	F	1	705	0	B	0	0	2	406	0	0
NON	40	33	M	1	711	0	B	0	0	1	372	0	0
NON	59	34	F	1	693	0	B	0	1	1	395	0	0
OUI	41	61	M	1	657	0	B	0	0	0	240	0	0
NON	34	36	F	0	698	0	B	0	0	0	193	0	0
NON	34	26	M	1	732	0	B	0	0	0	165	0	0
NON	41	50	M	1	738	0	B	0	0	0	113	0	0
OUI	45	54	M	1	691	0	B	0	0	0	125	0	0
NON	31	25	M	0	719	1	B	0	0	0	187	0	0
NON	33	62	M	0	645	0	B	0	0	1	246	0	0
NON	45	67	F	1	654	1	B	0	0	0	68	0	0
OUI	39	24	F	0	697	0	B	1	1	1	390	0	0
NON	54	28	F	0	678	0	B	0	0	0	86	0	0
NON	36	59	F	0	689	1	B	0	0	0	82	1	0
NON	44	20	F	1	685	0	B	0	0	0	229	0	0
OUI	39	17	F	1	707	0	B	0	0	0	111	0	0
OUI	47	67	M	1	682	0	B	0	0	0	234	0	0
NON	46	45	F	0	764	1	B	0	0	0	212	0	0
NON	51	59	M	1	718	1	B	0	0	1	173	0	0
NON	58	38	M	1	729	0	B	1	1	1	471	0	0
NON	40	31	F	1	683	0	B	0	0	0	74	0	0
NON	38	54	M	0	712	0	B	0	0	0	235	0	0
NON	33	30	M	0	635	0	B	0	0	0	206	0	0
NON	42	70	M	0	691	0	B	0	0	0	384	0	0
NON	37	37	F	0	711	1	B	0	0	0	509	0	0
NON	47	51	F	1	680	0	B	0	1	2	661	0	0
NON	43	29	M	1	693	0	B	0	0	0	142	0	0
OUI	43	53	M	1	681	0	B	0	0	1	443	0	0
NON	37	18	M	0	701	0	B	0	0	1	263	0	0
OUI	37	58	F	0	672	0	B	1	1	1	199	0	0
NON	43	57	F	1	656	0	B	0	0	0	92	0	0
OUI	42	52	M	0	653	0	B	1	1	1	367	0	0
NON	34	36	F	0	722	0	B	0	0	0	98	0	0
OUI	48	49	M	1	708	0	B	0	0	0	198	0	0
NON	41	48	F	1	682	1	B	1	1	1	325	0	0
NON	57	49	F	1	708	1	B	0	0	0	230	0	0
NON	36	57	M	0	710	0	B	0	0	0	216	0	0
NON	18	57	M	1	702	1	B	0	0	0	163	0	0
NON	44	25	F	1	695	0	B	0	0	0	198	0	0
NON	34	77	M	0	720	0	B	0	0	1	280	0	0
NON	50	20	F	1	693	0	B	1	1	1	420	0	0
NON	46	65	M	0	750	0	B	0	0	0	184	0	0
NON	50	35	M	1	688	0	B	0	0	0	370	0	0
NON	48	32	F	0	636	0	B	0	0	0	257	0	0
NON	19	77	M	1	712	1	B	0	0	0	107	0	0
OUI	44	39	M	1	690	0	B	0	0	0	144	0	0
OUI	49	44	F	1	672	1	B	0	1	1	393	0	0
NON	52	70	F	1	700	0	B	0	0	0	103	0	0
NON	45	47	F	0	746	0	B	1	1	1	680	0	0
OUI	46	48	F	0	659	0	B	0	0	1	191	0	0
NON	40	54	M	1	668	0	B	0	0	0	202	0	0
NON	50	38	M	0	669	0	B	0	0	0	148	0	0
NON	32	16	F	1	714	0	B	0	0	0	81	0	0
NON	60	26	M	1	707	1	B	0	0	0	61	0	0
NON	45	54	M	1	680	0	B	0	0	0	173	0	0
NON	56	114	M	0	671	0	B	0	1	2	539	0	0
NON	43	65	F	1	762	0	B	0	0	1	494	0	0
NON	70	31	M	0	679	0	B	0	1	1	361	0	0
NON	36	62	F	0	688	0	B	0	0	0	203	0	0
NON	70	59	F	0	733	0	B	0	0	0	157	0	0
NON	32	44	M	0	735	0	B	0	0	0	331	0	0
NON	48	53	M	0	696	0	B	0	0	0	216	0	0
NON	52	43	M	0	723	0	B	0	0	1	375	0	0
NON	31	66	M	1	664	1	B	0	1	1	448	0	0
NON	39	51	F	0	727	0	B	0	0	2	947	0	0
NON	41	72	M	1	714	0	B	0	0	1	202	0	0
NON	43	48	M	1	699	1	B	0	0	0	61	0	0
NON	25	66	M	0	748	1	B	0	1	1	507	0	0
NON	49	36	M	0	691	0	B	0	0	0	139	0	0
NON	41	67	M	1	675	0	B	0	0	0	162	0	0
NON	55	53	M	0	716	0	B	0	0	0	198	0	0
NON	35	31	M	0	705	0	B	1	1	1	158	0	0
NON	43	74	M	0	749	0	B	0	0	0	202	0	0
NON	30	68	M	0	732	0	B	0	0	0	130	0	0
NON	44	74	F	1	747	0	B	0	0	0	236	0	0
NON	31	34	F	0	685	0	B	0	1	2	318	0	0
NON	37	36	F	0	718	0	B	0	0	0	216	0	0
NON	40	22	F	1	668	0	B	0	0	0	250	0	0
NON	42	68	M	0	700	0	B	0	0	0	170	0	0
NON	38	75	F	0	716	1	B	0	0	0	146	0	0
NON	23	57	M	1	612	1	B	0	0	0	397	0	0
NON	18	63	M	0	697	1	B	0	0	0	159	0	0
NON	45	50	M	1	718	0	B	0	0	1	237	0	0
NON	44	65	M	0	669	0	B	0	1	1	210	0	0
NON	35	65	M	0	663	0	B	0	1	1	157	0	0
NON	35	48	F	0	691	1	B	0	0	0	60	0	0
NON	54	89	M	0	702	0	B	0	0	0	159	0	0
NON	46	60	F	1	684	0	B	0	1	1	262	0	0
NON	34	18	M	1	649	0	B	0	0	0	178	1	0
NON	53	73	M	0	713	0	B	0	0	0	234	0	0
NON	46	52	F	1	711	0	B	0	1	1	152	0	0
OUI	45	86	M	0	668	0	B	0	0	0	75	0	0
NON	33	95	F	1	738	0	B	0	0	0	120	1	0
NON	47	35	M	1	728	0	B	0	0	1	157	0	0
NON	47	16	M	1	718	0	B	0	0	0	518	0	0
NON	40	29	M	1	684	0	B	0	0	0	107	0	0
NON	44	59	M	1	709	0	B	0	0	1	181	0	0
NON	41	52	F	1	679	1	B	1	1	1	509	0	0
NON	48	17	F	1	657	0	B	1	1	1	294	0	0
NON	43	39	M	1	688	0	B	0	0	0	155	0	0
NON	34	45	F	1	670	1	B	0	0	0	182	0	0
NON	36	20	M	1	684	0	B	0	0	1	400	0	0
NON	48	53	M	1	662	0	B	0	0	0	101	0	0
NON	60	48	M	1	623	0	B	0	0	0	90	0	0
OUI	44	29	F	1	678	0	B	1	1	2	700	0	0
NON	21	26	M	1	685	0	B	0	0	0	72	0	0
NON	41	49	F	1	718	0	B	0	0	1	302	0	0
NON	39	49	F	0	708	1	B	0	0	0	194	0	0
NON	45	69	M	1	712	0	B	0	0	0	136	0	0
NON	38	72	M	0	694	0	B	0	0	0	219	0	0
OUI	38	64	F	0	731	0	B	0	0	0	182	0	0
NON	47	58	M	0	695	0	B	0	0	0	247	0	0
NON	35	31	M	0	731	0	B	0	0	0	204	0	0
NON	40	75	M	1	685	0	B	0	0	0	260	0	0
NON	61	72	M	1	717	0	B	0	0	0	60	0	0
NON	39	19	F	0	666	0	B	0	0	0	379	0	0
NON	38	47	F	0	689	0	B	1	1	2	702	0	0
NON	44	28	M	1	688	0	B	1	2	2	186	0	0
NON	44	20	F	1	737	0	B	0	0	1	180	0	0
NON	31	48	F	0	668	0	B	0	0	0	239	0	0
